Timestamp,City,Country,Temperature (°C),Feels Like (°C),Humidity (%),Wind Speed (m/s),Weather Description
2025-03-03 08:24:31,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:25:01,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:25:01,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:25:02,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:25:32,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:25:32,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:25:32,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:25:50,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:25:50,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:25:50,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:26:02,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:26:02,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:26:02,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:26:20,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:26:20,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:26:20,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:26:32,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:26:33,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:26:33,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:26:50,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:26:50,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:26:50,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:27:03,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:27:03,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:27:03,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:27:20,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:27:20,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:27:20,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:27:33,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:27:33,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:27:33,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:27:51,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:27:51,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:27:51,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:28:04,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:28:04,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:28:04,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:28:34,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:28:34,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:28:34,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:28:34,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:28:35,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:28:35,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:29:04,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:29:05,Hue,VN,25.14,25.67,75,1.1,few clouds
